Taxonomic_group,Label,French_name
Aves,Anser caerulescens,Oie des neiges
Aves,Anser anser,Oie cendrée
Aves,Anser albifrons,Oie rieuse
Aves,Anser erythropus,Oie naine
Aves,Anser fabalis,Oie des moissons
Aves,Anser serrirostris,Oie de la toundra
Aves,Anser brachyrhynchus,Oie à bec court
Aves,Branta bernicla,Bernache cravant
Aves,Branta leucopsis,Bernache nonnette
Aves,Branta canadensis,Bernache du Canada
Aves,Branta ruficollis,Bernache à cou roux
Aves,Cygnus olor,Cygne tuberculé
Aves,Cygnus atratus,Cygne noir
Aves,Cygnus columbianus,Cygne siffleur
Aves,Cygnus cygnus,Cygne chanteur
Aves,Alopochen aegyptiaca,Ouette d'Égypte
Aves,Tadorna ferruginea,Tadorne casarca
Aves,Tadorna tadorna,Tadorne de Belon
Aves,Aix galericulata,Canard mandarin
Aves,Sibirionetta formosa,Sarcelle élégante
Aves,Spatula querquedula,Sarcelle d'été
Aves,Spatula discors,Sarcelle à ailes bleues
Aves,Spatula clypeata,Canard souchet
Aves,Mareca strepera,Canard chipeau
Aves,Mareca penelope,Canard siffleur
Aves,Mareca americana,Canard d'Amérique
Aves,Anas platyrhynchos,Canard colvert
Aves,Anas rubripes,Canard noir
Aves,Anas acuta,Canard pilet
Aves,Anas crecca,Sarcelle d'hiver
Aves,Marmaronetta angustirostris,Marmaronette marbrée
Aves,Netta rufina,Nette rousse
Aves,Aythya americana,Fuligule à tête rouge
Aves,Aythya ferina,Fuligule milouin
Aves,Aythya collaris,Fuligule à collier
Aves,Aythya nyroca,Fuligule nyroca
Aves,Aythya fuligula,Fuligule morillon
Aves,Aythya marila,Fuligule milouinan
Aves,Aythya affinis,Petit Fuligule
Aves,Polysticta stelleri,Eider de Steller
Aves,Somateria spectabilis,Eider à tête grise
Aves,Somateria mollissima,Eider à duvet
Aves,Melanitta perspicillata,Macreuse à front blanc
Aves,Melanitta fusca,Macreuse brune
Aves,Melanitta stejnegeri,Macreuse de Sibérie
Aves,Melanitta nigra,Macreuse noire
Aves,Melanitta americana,Macreuse à bec jaune
Aves,Clangula hyemalis,Harelde kakawi
Aves,Bucephala albeola,Petit Garrot
Aves,Bucephala clangula,Garrot à oeil d'or
Aves,Bucephala islandica,Garrot d'Islande
Aves,Mergellus albellus,Harle piette
Aves,Mergus merganser,Grand Harle
Aves,Mergus serrator,Harle huppé
Aves,Oxyura jamaicensis,Érismature rousse
Aves,Oxyura leucocephala,Érismature à tête blanche
Aves,Callipepla californica,Colin de Californie
Aves,Tetrastes bonasia,Gélinotte des bois
Aves,Lagopus muta,Lagopède alpin
Aves,Tetrao urogallus,Grand Tétras
Aves,Lyrurus tetrix,Tétras lyre
Aves,Perdix perdix,Perdrix grise
Aves,Syrmaticus reevesii,Faisan vénéré
Aves,Phasianus colchicus,Faisan de Colchide
Aves,Coturnix coturnix,Caille des blés
Aves,Alectoris barbara,Perdrix gambra
Aves,Alectoris rufa,Perdrix rouge
Aves,Alectoris graeca,Perdrix bartavelle
Aves,Phoenicopterus roseus,Flamant rose
Aves,Phoeniconaias minor,Flamant nain
Aves,Tachybaptus ruficollis,Grèbe castagneux
