recording,n_splits
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_23IV2022_i100.wav,4
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_23IV2022_i101.wav,27
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_23IV2022_i102.wav,7
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_23IV2022_i103.wav,48
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_23IV2022_i104.wav,22
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_23IV2022_i57.wav,19
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_23IV2022_i58.wav,2
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_23IV2022_i59.wav,10
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_23IV2022_i60.wav,52
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_23IV2022_i61.wav,7
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i62.wav,4
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i63.wav,1
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i64.wav,10
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i65.wav,12
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i66.wav,20
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i67.wav,12
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i68.wav,7
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i69.wav,8
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i70.wav,22
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i71.wav,25
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i72.wav,13
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i73.wav,19
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i74.wav,32
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i75.wav,4
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i76.wav,2
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_24IV2022_i77.wav,14
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_25IV2022_i78.wav,10
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_25IV2022_i79.wav,6
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_25IV2022_i80.wav,26
/media/david/One Touch/Sons/Anura_XXXXXXX07FR_25IV2022_i81.wav,6
