/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_i51.wav,0.0,638.22,15.66,5361.77,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_i51.wav,6.15,88.45,6.24,796.34,Non identifié
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_i51.wav,8.02,121.57,9.36,678.13,Non identifié
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_i51.wav,10.5,197.3,10.57,719.24,Non identifié
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_i51.wav,11.17,88.45,11.23,886.93,Non identifié
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_i51.wav,12.09,262.87,12.31,678.13,Non identifié
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_rdlplbb09FR_08IV2022_i51.wav,13.76,102.48,15.54,702.65,Non identifié
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,0.1,1001.68,0.74,2381.34,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,0.92,926.65,1.54,2335.37,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,1.65,670.15,2.52,2962.8,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,2.78,843.28,3.61,2752.56,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,3.78,786.36,4.77,2358.27,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,5.27,843.28,6.15,2962.8,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,6.35,710.19,7.02,2136.84,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,8.1,938.92,8.8,2935.37,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,8.98,731.54,9.39,2290.08,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,10.65,902.38,11.17,2697.6,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,11.22,869.96,11.68,2381.34,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,11.68,689.15,12.1,2052.82,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,12.32,938.92,12.93,2475.38,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i55.wav,13.08,678.75,13.48,2115.6,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,0.51,2082.26,1.02,2627.09,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,1.18,1609.38,1.75,2481.62,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,1.96,1133.06,2.35,2166.44,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,3.16,1960.61,3.69,2627.09,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,3.71,1714.97,4.43,2434.56,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,4.63,1092.54,5.06,2082.26,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,5.72,1661.59,6.3,2683.15,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,6.3,1679.25,6.89,2529.39,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,7.59,1241.05,7.96,2166.44,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,9.35,1656.63,9.95,2342.51,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,10.23,1657.34,10.78,2727.75,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,10.81,1201.2,11.19,2166.44,Hyla meridionalis
/media/david/One Touch/PSI-BIOM/Travail/Enregistrements opportunistes/Amphibiens/Elodie Massol/Hyla meridionalis/Sons/Anura_pdlmtou09FR_25IV2022_i56.wav,13.39,2082.26,13.88,2702.31,Hyla meridionalis
